"Positions for All-Accounts as of 07:22 PM ET, 12/04/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Charity XXXX-1234,,,,,,,not a provided column,,,,,,,,,,,,,,,,,,,,,
Symbol,Description,Quantity,Price,Price Change $,Price Change %,Market Value,Quantity Times Price,Day Change $,Day Change %,Cost Basis,Gain/Loss $,Gain/Loss %,Reinvest Dividends?,Capital Gains?,% Of Account,Dividend Yield,Last Dividend,Ex-Dividend Date,P/E Ratio,52 Week Low,52 Week High,Volume,Intrinsic Value,In The Money,Security Type,,,
SCII1,INCOME INDEX POOL,8,$11.86 ,$0.05 ,0.42%,$94.88 ,$94.88 ,$0.00 ,0.42%,--,--,--,--,--,--,--,--,--,--,N/A,N/A,--,--,--,Mutual Fund,,,
SCGI1,INCOME POOL,6,$17.34 ,$0.08 ,0.46%,$104.04 ,$104.04 ,$0.00 ,0.46%,--,--,--,--,--,--,--,--,--,--,N/A,N/A,--,--,--,Mutual Fund,,,
Cash & Cash Investments,--,--,--,--,--,$0.00 ,#VALUE!,$0.00 ,0%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cash and Money Market,,,
Account Total,--,--,--,--,--,$198.92 ,,$0.00 ,-0.60%,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Rollover - FRED XXXX-5678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol,Description,Quantity,Price,Price Change $,Price Change %,Market Value,Quantity Times Price,Day Change $,Day Change %,Cost Basis,Gain/Loss $,Gain/Loss %,Reinvest Dividends?,Capital Gains?,% Of Account,Dividend Yield,Last Dividend,Ex-Dividend Date,P/E Ratio,52 Week Low,52 Week High,Volume,Intrinsic Value,In The Money,Security Type,,,
APD,AIR PROD & CHEMICALS,110,$288.62 ,$1.19 ,0.41%,"$31,748.20 ","$31,748.20 ",$0.00 ,0.41%,$0.00 ,$0.00 ,81.18%,No,--,999%,2.10%,$1.50 ,12/31/2021,31.52,$245.75 ,$316.39 ,"1,199,060",--,--,Equity,,,
APH,AMPHENOL CORP CLASS A,174,$81.67 ,$0.21 ,0.26%,"$14,210.58 ","$14,210.58 ",$0.00 ,0.26%,$0.00 ,$0.00 ,-0.11%,No,--,999%,1%,$0.20 ,12/20/2021,34.52,$58.58 ,$86.05 ,"2,886,442",--,--,Equity,,,
ADI,ANALOG DEVICES INC,83,$180.79 ,$0.16 ,0.09%,"$15,005.57 ","$15,005.57 ",$0.00 ,0.09%,$0.00 ,$0.00 ,52.67%,No,--,999%,1.50%,$0.69 ,12/2/2021,52.21,$139.21 ,$191.95 ,"2,958,663",--,--,Equity,,,
AZO,AUTOZONE INC,14,"$1,863.00 ",($5.29),-0.28%,"$26,082.00 ","$26,082.00 ",$0.00 ,-0.28%,$0.00 ,$0.00 ,66.08%,No,--,999%,N/A,N/A,N/A,19.63,"$1,085.85 ","$1,941.36 ","175,547",--,--,Equity,,,
ZBRA,ZEBRA TECHNOLOGIES CLASS A,25,$588.29 ,($8.67),-1.45%,"$14,707.25 ","$14,707.25 ",$0.00 ,-1.45%,$0.00 ,$0.00 ,206.05%,No,--,999%,N/A,N/A,N/A,38.07,$363.00 ,$614.10 ,"229,463",--,--,Equity,,,
SWVXX,SCHWAB VALUE ADVANTAGE M ONEY INV,81.48,$1.00 ,$0.00 ,0%,$81.48 ,$81.48 ,$0.00 ,0%,$0.00 ,$0.00 ,0%,Yes,Yes,999%,--,--,--,--,--,--,--,--,--,Cash and Money Market,,,
SWYXX,SCHWAB NY MUNICIPAL MONE Y INV,"7,176.85",$1.00 ,$0.00 ,0%,"$7,176.85 ","$7,176.85 ",$0.00 ,0%,"$7,176.85 ",$0.00 ,0%,Yes,Yes,3.39%,--,--,--,--,--,--,--,--,--,Cash and Money Market,DE Invest,DE,Invest
912828X39,UST INFL IDX 0.125%04/22 INFL INDEX DUE 04/15/22,"65,000",$102.33 ,($0.23),-0.23%,"$75,002.37 ","$6,651,327.80 ",($171.79),-0.23%,"$72,116.52 ","$2,885.85 ",4%,No,--,3.25%,--,--,--,--,N/A,N/A,--,--,--,Fixed Income,C Endow (Regent),C,Endowment
Cash & Cash Investments,--,--,--,--,--,"$52,070.06 ",#VALUE!,$0.00 ,0%,$0.00 ,$0.00 ,--,--,--,999%,--,--,--,--,--,--,--,--,--,Cash and Money Market,,,
Account Total,--,--,--,--,--,"$236,084.36 ",,$0.00 ,-0.79%,$0.00 ,$0.00 ,41.87%,--,--,999%,--,--,--,--,--,--,--,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D UPC - FC XXXX-1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol,Description,Quantity,Price,Price Change $,Price Change %,Market Value,Quantity Times Price,Day Change $,Day Change %,Cost Basis,Gain/Loss $,Gain/Loss %,Reinvest Dividends?,Capital Gains?,% Of Account,Dividend Yield,Last Dividend,Ex-Dividend Date,P/E Ratio,52 Week Low,52 Week High,Volume,Intrinsic Value,In The Money,Security Type,,,
DODBX,DODGE & COX BALANCED,321.00,$115.34 ,$0.00 ,0%,"$37,024.14 ","$37,024.14 ",$0.00 ,0%,$0.00 ,$0.00 ,18.88%,Yes,Yes,999%,--,--,--,--,$99.95 ,$119.30 ,--,--,--,Mutual Fund,,,
VGSTX,VANGUARD STAR INV,"1,307.00",$33.25 ,$0.00 ,0%,"$43,457.75 ","$43,457.75 ",$0.00 ,0%,$0.00 ,$0.00 ,60.33%,Yes,Yes,999%,--,--,--,--,$30.90 ,$34.67 ,--,--,--,Mutual Fund,,,
Cash & Cash Investments,--,--,--,--,--,"$50,000.00 ",#VALUE!,$0.00 ,0%,$0.00 ,$0.00 ,--,--,--,999%,--,--,--,--,--,--,--,--,--,Cash and Money Market,,,
Account Total,--,--,--,--,--,"$130,481.89 ",,$0.00 ,0%,$0.00 ,$0.00 ,38.17%,--,--,--,--,--,--,--,--,--,--,,,,,,
